ClusterID,CentroidX,CentroidY,Radius
283,979.258,69.6231,22.2436
284,977.728,156.522,24.6384
278,965.349,723.583,17.386
294,1008.4,727.632,24.9431
272,957.956,118.942,28.5516
273,945.871,206.972,18.4736
263,923.521,505.551,32.8741
264,915.236,205.35,34.9844
243,849.159,624.962,19.904
242,847.12,687.401,28.1171
234,847.752,317.238,48.4653
236,823.026,82.7558,40.1013
119,413.396,273.689,31.4816
107,380.887,706.601,20.7051
298,1017.07,293.863,16.078
288,983.951,204.389,11.3196
268,933.728,618.699,15.6495
99,367.258,786.024,24.1974
102,359.093,286.188,22.8896
70,269.573,685.575,21.5996
53,212.619,597.413,18.954
56,222.397,640.936,27.3799
86,307.918,58.3825,19.6839
229,810.651,526.401,24.011
74,284.752,608.311,28.4859
146,518.94,716.546,31.4967
61,240.015,141.683,31.4901
11,47.6885,135.574,17.4863
226,807.023,29.7556,24.5768
62,235.093,704.842,16.135
6,77.9263,432.153,89.1717
34,164.49,702.758,30.1432
124,434.603,637.502,41.4962
43,181.923,637.467,30.1919
5,42.735,207.238,23.298
21,103.646,659.445,31.6036
22,100.622,258.08,22.9102
281,990.644,790.671,36.2805
141,491.788,61.6972,39.1292
87,326.096,209.513,19.6337
286,1001.35,623.586,43.5296
3,59.5219,597.441,53.3558
36,154.004,294.801,21.3799
46,206.614,781.481,53.0623
152,533.215,515.88,27.7721
50,217.664,466.065,24.8908
127,445.563,57.7718,15.2785
130,456.395,779.187,18.0559
188,690.579,730.01,52.6723
277,960.458,334.793,22.7032
219,766.636,172.452,13.9587
131,459.342,200.511,40.9128
132,452.821,506.397,18.5624
244,854.65,784.877,23.2708
156,535.911,437.981,22.4276
204,755.668,356.579,52.2948
215,759.107,286.525,23.2924
25,122.873,182.653,42.4218
139,491.767,589.712,23.1308
149,514.768,632.57,26.6213
153,536.326,296.433,29.8691
161,564.82,600.642,18.4726
181,630.539,61.5738,41.5351
112,396.945,114.289,17.7607
184,646.451,784.165,21.6881
198,695.09,266.161,19.4201
114,404.269,563.047,22.1254
134,486.288,283.75,36.2234
199,708.419,498.814,20.8841
206,742.201,121.237,23.567
262,906.328,142.121,24.6001
100,355.164,110.82,25.4274
213,754.173,617.676,14.901
26,118.949,768.84,40.1038
172,614.374,701.676,40.217
167,576.848,667.454,14.3186
216,764.322,728.247,21.3788
228,801.36,760.041,17.8073
230,798.76,234.01,17.7982
