ClusterID,CentroidX,CentroidY,Radius
181,1020.47,194.904,7.45226
180,1014.14,84.8978,2.28767
179,1016.37,485.707,14.6139
178,1017.07,293.863,16.078
176,1011.37,760.662,10.987
177,1011.94,125.656,12.941
175,1012.75,430.726,13.8997
174,999.228,235.447,3.48636
173,1002.65,257.798,18.1132
172,984.812,207.759,19.6301
169,979.258,69.6231,22.2436
171,1001.08,623.069,43.54
168,956.31,175.492,3.32234
170,977.728,156.522,24.6384
167,962.235,336.219,26.2881
166,957.956,118.942,28.5516
165,984.176,738.408,78.5714
164,939.4,798.494,4.96469
163,945.871,206.972,18.4736
162,934.313,618.027,15.4608
161,919.524,388.401,1.67618
160,918.771,643.369,12.6475
159,923.521,505.551,32.8741
158,915.236,205.35,34.9844
157,921.017,548.419,34.1552
156,900.056,455.536,8.22271
155,905.655,149.474,26.8558
153,885.782,632.677,12.7674
154,882.98,483.481,6.24603
152,884.972,748.674,14.9364
151,867.558,434.083,0
150,862.847,283.451,7.98548
149,859.314,258.349,5.32917
148,860.884,196.2,12.7213
147,853.934,445.705,16.5167
146,842.353,645.283,8.35151
145,867.67,785.281,34.4951
144,839.635,123.532,6.65742
142,851.409,314.504,26.4389
141,845.892,613.347,30.0739
143,847.195,687.958,27.6702
140,821.238,732.726,9.3947
139,819.277,466.902,5.06414
138,815.368,573.355,16.3351
137,823.026,82.7558,40.1013
136,799.384,423.72,9.07183
135,806.942,235.972,27.0948
133,808.68,525.698,25.629
132,794.985,616.767,18.0419
134,809.071,30.8507,27.8601
131,792.019,650.198,14.9378
130,771.166,108.686,10.4735
128,771.24,251.81,7.17825
60,387.362,707.551,20.729
59,391.509,108.884,25.4654
57,374.246,245.432,2.78963
58,383.391,334.008,28.2861
56,379.028,609.022,17.1599
54,359.093,286.188,22.8896
53,355.164,110.82,25.4274
55,353.527,366.642,7.88604
52,364.278,783.153,26.4021
51,345.066,481.086,2.68267
49,339.113,229.457,34.0256
50,338.217,462.715,23.0921
48,319.018,774.164,29.0204
47,342.211,666.182,36.122
46,309.505,57.1629,20.0174
45,279.672,62.2972,0.937781
44,285.369,608.762,27.993
43,264.351,533.362,20.5136
41,264.232,441.968,8.58245
42,259.792,313.958,6.70697
40,268.317,684.87,19.8643
39,259.671,576.428,17.9639
37,251.843,278.493,17.2141
38,238.468,805.565,3.29376
36,235.043,711.604,17.5637
35,241.454,143.498,31.7206
34,222.345,639.981,26.7782
33,212.619,597.413,18.954
32,208.118,519.231,15.3391
31,236.743,466.686,43.9776
14,57.1276,266.645,4.12693
12,58.0228,46.3762,12.5988
13,64.4154,673.783,14.7815
11,48.0622,738.123,10.7569
10,41.4698,243.69,8.07735
9,47.6885,135.574,17.4863
7,32.318,724.906,1.85397
8,32.7753,98.8385,10.2336
4,42.735,207.238,23.298
2,95.5982,616.596,116.261
129,774.157,53.604,17.468
5,78.9143,443.463,98.596
6,27.7407,527.761,6.79384
3,24.5519,265.215,5.37608
15,65.8081,97.9155,11.9287
16,74.967,781.972,20.2942
17,86.7935,198.572,3.62253
18,178.527,776.999,112.519
19,125.57,186.013,47.3296
20,104.83,255.314,15.4785
21,108.87,722.425,8.6404
22,117.835,464.836,5.57622
23,164.49,702.758,30.1432
24,157.325,52.2643,21.4264
25,161.205,132.479,21.7447
26,160.168,283.252,32.9892
27,161.542,758.153,3.31064
29,177.916,392.993,16.2464
28,172.285,367.067,3.1444
30,195.372,676.337,8.60646
61,379.309,574.542,12.18
62,391.128,238.354,0
63,404.873,564.567,23.6901
66,412.892,272.671,32.3817
64,407.296,465.269,12.1611
65,400.659,628.604,3.72488
68,424.188,747.323,25.7612
67,410.27,406.01,6.01788
69,447.305,523.222,36.1656
70,435.106,635.755,44.8634
71,445.563,57.7718,15.2785
72,448.408,433.993,12.6969
73,455.156,204.011,27.5776
74,452.732,573.584,6.20488
75,484.625,283.157,34.5144
76,461.181,776.471,12.6382
77,461.387,29.9781,4.1571
78,461.315,677.874,4.20653
79,465.718,712.193,4.26195
80,503.352,606.214,62.5659
81,482.464,687.815,6.97465
82,491.788,61.6972,39.1292
83,507.793,227.769,35.162
84,519.303,710.758,42.1384
85,526.712,507.484,47.2678
86,502.965,694.289,2.07689
87,535.674,300.073,20.7551
88,533.532,442.185,29.6331
89,530.97,582.883,4.32098
90,531.848,734.589,2.6516
91,538.668,254.727,7.30866
92,562.999,180.071,12.1275
94,563.788,756.883,12.478
93,567.601,230.06,16.3646
95,564.032,415.756,2.59997
97,568.681,607.113,11.1057
96,576.848,667.454,14.3186
98,582.99,534.895,10.5978
99,649.225,709.759,92.0594
100,587.046,88.4101,17.4234
101,587.469,366.584,5.84581
102,601.463,352.453,10.2871
106,637.332,66.1695,43.1873
104,608.248,438.746,5.95457
103,624.533,417.469,16.0866
105,613.608,561.798,4.58558
107,643.131,784.1,15.7491
108,654.633,384.699,9.27384
109,666.505,132.111,35.7752
110,668.337,329.454,10.054
111,665.933,607.674,6.3804
112,679.517,632.336,10.1932
113,694.841,260.323,28.2111
114,708.419,498.814,20.8841
115,715.308,707.255,20.6161
116,714.29,666.71,20.0781
117,741.456,614.573,35.4168
119,752.712,357.295,50.5359
118,719.07,124.725,0
120,742.789,123.435,23.701
121,734.484,250.075,27.9422
122,745.043,514.715,24.0336
123,733.441,647.939,3.90143
124,759.445,286.15,29.8768
125,780.719,743.707,39.2813
126,750.22,752.149,0
127,775.613,165.457,32.4433
